emp_id,item_id,year,week,quantity,weekx,FileName
EMP244,PROD_001,2020,1,42,0,capstone_data_complete
EMP244,PROD_001,2020,1,48,1,capstone_data_complete
EMP244,PROD_001,2020,1,38,2,capstone_data_complete
EMP244,PROD_001,2020,1,43,3,capstone_data_complete
EMP244,PROD_001,2020,1,35,4,capstone_data_complete
EMP244,PROD_001,2020,1,39,5,capstone_data_complete
EMP244,PROD_001,2020,1,36,6,capstone_data_complete
EMP244,PROD_001,2020,1,38,7,capstone_data_complete
EMP244,PROD_001,2020,1,49,8,capstone_data_complete
EMP244,PROD_001,2020,1,46,9,capstone_data_complete
EMP244,PROD_001,2020,1,44,10,capstone_data_complete
EMP244,PROD_001,2020,1,25,11,capstone_data_complete
EMP244,PROD_001,2020,1,43,12,capstone_data_complete
EMP244,PROD_001,2020,1,38,13,capstone_data_complete
EMP244,PROD_001,2020,1,34,14,capstone_data_complete
EMP244,PROD_001,2020,1,48,15,capstone_data_complete
EMP244,PROD_001,2020,1,52,16,capstone_data_complete
EMP244,PROD_001,2020,1,67,17,capstone_data_complete
EMP244,PROD_001,2020,1,52,18,capstone_data_complete
EMP244,PROD_001,2020,1,45,19,capstone_data_complete
EMP244,PROD_001,2020,1,64,20,capstone_data_complete
EMP244,PROD_001,2020,1,49,21,capstone_data_complete
EMP244,PROD_001,2020,1,48,22,capstone_data_complete
EMP244,PROD_001,2020,1,72,23,capstone_data_complete
EMP244,PROD_001,2020,1,64,24,capstone_data_complete
EMP244,PROD_001,2020,1,64,25,capstone_data_complete
EMP244,PROD_001,2020,1,30,26,capstone_data_complete
EMP244,PROD_001,2020,1,25,27,capstone_data_complete
EMP244,PROD_001,2020,1,43,28,capstone_data_complete
EMP244,PROD_001,2020,1,23,29,capstone_data_complete
EMP244,PROD_001,2020,1,29,30,capstone_data_complete
EMP244,PROD_001,2020,1,30,31,capstone_data_complete
EMP244,PROD_001,2020,1,31,32,capstone_data_complete
EMP244,PROD_001,2020,1,28,33,capstone_data_complete
EMP244,PROD_001,2020,1,34,34,capstone_data_complete
